"","genes","cluster"
"lpl6_a_DN186_c1_g1_i9","lpl6_a_DN186_c1_g1_i9",1
"lpl6_b_DN52_c0_g2_i3","lpl6_b_DN52_c0_g2_i3",1
"lpl6_b_DN40_c0_g1_i7","lpl6_b_DN40_c0_g1_i7",1
"lpl6_b_DN22_c0_g1_i5","lpl6_b_DN22_c0_g1_i5",1
"lpl6_b_DN4_c0_g1_i28","lpl6_b_DN4_c0_g1_i28",2
"lpl6_b_DN24_c0_g1_i14","lpl6_b_DN24_c0_g1_i14",1
"lpl6_b_DN24_c0_g1_i29","lpl6_b_DN24_c0_g1_i29",1
"lpl6_b_DN16_c0_g1_i16","lpl6_b_DN16_c0_g1_i16",1
"lpl6_b_DN98_c1_g2_i1","lpl6_b_DN98_c1_g2_i1",1
"lpl6_b_DN0_c0_g1_i12","lpl6_b_DN0_c0_g1_i12",1
"lpl6_b_DN0_c0_g1_i17","lpl6_b_DN0_c0_g1_i17",1
"lpl6_b_DN0_c0_g1_i34","lpl6_b_DN0_c0_g1_i34",1
"lpl6_b_DN0_c0_g1_i48","lpl6_b_DN0_c0_g1_i48",1
"lpl6_b_DN0_c1_g1_i6","lpl6_b_DN0_c1_g1_i6",1
"lpl6_b_DN285_c0_g1_i1","lpl6_b_DN285_c0_g1_i1",1
"lpl6_b_DN213_c0_g2_i8","lpl6_b_DN213_c0_g2_i8",1
"lpl6_b_DN299_c0_g1_i10","lpl6_b_DN299_c0_g1_i10",1
"lpl6_b_DN208_c0_g1_i9","lpl6_b_DN208_c0_g1_i9",1
"lpl6_b_DN317_c0_g1_i2","lpl6_b_DN317_c0_g1_i2",3
"lpl6_b_DN467_c1_g2_i1","lpl6_b_DN467_c1_g2_i1",1
"lpl6_b_DN404_c0_g1_i1","lpl6_b_DN404_c0_g1_i1",1
"lpl6_c_DN5_c0_g1_i13","lpl6_c_DN5_c0_g1_i13",1
"lpl6_c_DN5_c0_g1_i26","lpl6_c_DN5_c0_g1_i26",1
"lpl6_c_DN8_c0_g1_i11","lpl6_c_DN8_c0_g1_i11",1
"lpl6_c_DN8_c0_g1_i2","lpl6_c_DN8_c0_g1_i2",1
"lpl6_c_DN99_c0_g1_i42","lpl6_c_DN99_c0_g1_i42",1
"lpl6_c_DN0_c0_g1_i24","lpl6_c_DN0_c0_g1_i24",1
"lpl6_c_DN0_c0_g1_i26","lpl6_c_DN0_c0_g1_i26",1
"lpl6_c_DN0_c1_g1_i11","lpl6_c_DN0_c1_g1_i11",1
"lpl6_c_DN0_c15_g4_i1","lpl6_c_DN0_c15_g4_i1",1
"lpl6_c_DN19_c0_g1_i5","lpl6_c_DN19_c0_g1_i5",1
"lpl6_c_DN227_c0_g1_i3","lpl6_c_DN227_c0_g1_i3",1
"lpl6_c_DN285_c0_g1_i11","lpl6_c_DN285_c0_g1_i11",2
"lpl6_c_DN285_c0_g1_i3","lpl6_c_DN285_c0_g1_i3",2
"lpl6_c_DN249_c0_g1_i4","lpl6_c_DN249_c0_g1_i4",1
"lpl6_c_DN233_c0_g1_i8","lpl6_c_DN233_c0_g1_i8",1
"lpl6_c_DN261_c0_g1_i1","lpl6_c_DN261_c0_g1_i1",1
"lpl6_c_DN6850_c0_g1_i2","lpl6_c_DN6850_c0_g1_i2",1
"lpl6_c_DN1032_c0_g1_i3","lpl6_c_DN1032_c0_g1_i3",1
"lpl6_c_DN1001_c0_g1_i1","lpl6_c_DN1001_c0_g1_i1",1
"lpl6_c_DN422_c0_g1_i3","lpl6_c_DN422_c0_g1_i3",1
"lpl6_c_DN147_c0_g1_i2","lpl6_c_DN147_c0_g1_i2",1
"lpl6_c_DN124_c0_g1_i9","lpl6_c_DN124_c0_g1_i9",1
"lpl6_c_DN131_c0_g1_i11","lpl6_c_DN131_c0_g1_i11",1
"lpl6_c_DN199_c0_g1_i11","lpl6_c_DN199_c0_g1_i11",1
"lpl7_a_DN3720_c0_g1_i10","lpl7_a_DN3720_c0_g1_i10",1
"lpl7_a_DN93_c0_g1_i1","lpl7_a_DN93_c0_g1_i1",3
"lpl7_a_DN68_c0_g1_i1","lpl7_a_DN68_c0_g1_i1",1
"lpl7_a_DN2_c1_g1_i21","lpl7_a_DN2_c1_g1_i21",1
"lpl7_a_DN7_c1_g1_i22","lpl7_a_DN7_c1_g1_i22",1
"lpl7_a_DN28_c0_g1_i23","lpl7_a_DN28_c0_g1_i23",1
"lpl7_a_DN28_c0_g1_i29","lpl7_a_DN28_c0_g1_i29",1
"lpl7_a_DN28_c0_g1_i48","lpl7_a_DN28_c0_g1_i48",1
"lpl7_a_DN95_c0_g1_i5","lpl7_a_DN95_c0_g1_i5",1
"lpl7_a_DN42_c0_g1_i7","lpl7_a_DN42_c0_g1_i7",1
"lpl7_a_DN69_c0_g1_i21","lpl7_a_DN69_c0_g1_i21",1
"lpl7_a_DN32_c0_g1_i12","lpl7_a_DN32_c0_g1_i12",1
"lpl7_a_DN17_c0_g1_i14","lpl7_a_DN17_c0_g1_i14",1
"lpl7_a_DN25215_c0_g1_i2","lpl7_a_DN25215_c0_g1_i2",1
"lpl7_a_DN44511_c0_g1_i1","lpl7_a_DN44511_c0_g1_i1",1
"lpl7_a_DN2358_c0_g3_i4","lpl7_a_DN2358_c0_g3_i4",1
"lpl7_a_DN170_c0_g1_i6","lpl7_a_DN170_c0_g1_i6",1
"lpl7_b_DN18_c0_g1_i6","lpl7_b_DN18_c0_g1_i6",1
"lpl7_b_DN46_c0_g1_i4","lpl7_b_DN46_c0_g1_i4",1
"lpl7_b_DN36_c0_g1_i2","lpl7_b_DN36_c0_g1_i2",1
"lpl7_b_DN36_c0_g1_i29","lpl7_b_DN36_c0_g1_i29",1
"lpl7_b_DN14_c0_g1_i11","lpl7_b_DN14_c0_g1_i11",1
"lpl7_b_DN14_c0_g1_i6","lpl7_b_DN14_c0_g1_i6",1
"lpl7_b_DN87_c1_g1_i1","lpl7_b_DN87_c1_g1_i1",1
"lpl7_b_DN4_c0_g1_i4","lpl7_b_DN4_c0_g1_i4",1
"lpl7_b_DN30_c0_g1_i32","lpl7_b_DN30_c0_g1_i32",1
"lpl7_b_DN9_c0_g1_i20","lpl7_b_DN9_c0_g1_i20",1
"lpl7_b_DN6_c0_g1_i19","lpl7_b_DN6_c0_g1_i19",1
"lpl7_b_DN83_c0_g1_i6","lpl7_b_DN83_c0_g1_i6",1
"lpl7_b_DN0_c0_g1_i2","lpl7_b_DN0_c0_g1_i2",1
"lpl7_b_DN0_c0_g1_i6","lpl7_b_DN0_c0_g1_i6",1
"lpl7_b_DN0_c1_g1_i8","lpl7_b_DN0_c1_g1_i8",1
"lpl7_b_DN13_c0_g1_i6","lpl7_b_DN13_c0_g1_i6",1
"lpl7_b_DN13_c0_g1_i9","lpl7_b_DN13_c0_g1_i9",1
"lpl7_b_DN13_c0_g2_i1","lpl7_b_DN13_c0_g2_i1",1
"lpl7_b_DN13_c2_g2_i11","lpl7_b_DN13_c2_g2_i11",1
"lpl7_b_DN90_c0_g1_i2","lpl7_b_DN90_c0_g1_i2",1
"lpl7_b_DN17_c0_g1_i2","lpl7_b_DN17_c0_g1_i2",1
"lpl7_b_DN17_c3_g1_i2","lpl7_b_DN17_c3_g1_i2",1
"lpl7_b_DN236_c0_g1_i2","lpl7_b_DN236_c0_g1_i2",1
"lpl7_b_DN211_c0_g1_i2","lpl7_b_DN211_c0_g1_i2",1
"lpl7_b_DN283_c0_g1_i3","lpl7_b_DN283_c0_g1_i3",1
"lpl7_b_DN615_c0_g1_i5","lpl7_b_DN615_c0_g1_i5",1
"lpl7_b_DN2008_c0_g1_i1","lpl7_b_DN2008_c0_g1_i1",1
"lpl7_b_DN1641_c0_g2_i1","lpl7_b_DN1641_c0_g2_i1",1
"lpl7_b_DN542_c0_g1_i11","lpl7_b_DN542_c0_g1_i11",1
"lpl7_b_DN3326_c0_g1_i2","lpl7_b_DN3326_c0_g1_i2",1
"lpl7_b_DN146_c0_g1_i2","lpl7_b_DN146_c0_g1_i2",1
"lpl7_b_DN114_c0_g1_i10","lpl7_b_DN114_c0_g1_i10",1
"lpl7_b_DN199_c0_g1_i9","lpl7_b_DN199_c0_g1_i9",1
"lpl7_c_DN3770_c0_g1_i1","lpl7_c_DN3770_c0_g1_i1",1
"lpl7_c_DN5_c0_g1_i1","lpl7_c_DN5_c0_g1_i1",1
"lpl7_c_DN62_c0_g1_i1","lpl7_c_DN62_c0_g1_i1",1
"lpl7_c_DN11_c0_g1_i11","lpl7_c_DN11_c0_g1_i11",1
"lpl7_c_DN7_c0_g1_i11","lpl7_c_DN7_c0_g1_i11",1
"lpl7_c_DN84_c0_g2_i1","lpl7_c_DN84_c0_g2_i1",1
